# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       21      39       4.864e+01       2.106e+02       4.020e-03       1.610e+00    0
       21      40       5.027e+01       2.150e+02       3.678e-03       8.412e-01    0
       21      41       5.216e+01       2.190e+02       4.270e-03       9.095e-01    0
       21      42       5.428e+01       2.227e+02       4.176e-03       3.438e-01    0
       21      43       5.665e+01       2.261e+02       4.571e-03       1.661e+00    0
       21      44       5.927e+01       2.292e+02       4.454e-03       3.224e-01    0
       21      45       6.218e+01       2.320e+02       4.325e-03       1.238e+00    0
       21      46       6.541e+01       2.346e+02       4.723e-03       1.267e+00    0
       21      47       6.900e+01       2.369e+02       4.571e-03       7.404e-01    0
       21      48       7.300e+01       2.390e+02       4.381e-03       7.511e-01    0
       22      20       7.250e+01       1.301e+02       4.995e-03       9.460e-01    0
       22      21       6.833e+01       1.321e+02       4.036e-03       1.755e+00    0
       22      22       6.459e+01       1.342e+02       4.160e-03       9.623e-01    0
       22      23       6.120e+01       1.366e+02       4.274e-03       1.586e+00    0
       22      24       5.812e+01       1.392e+02       4.359e-03       6.675e-01    0
       22      25       5.531e+01       1.422e+02       4.433e-03       1.083e+00    0
       22      26       5.274e+01       1.454e+02       4.042e-03       1.143e+00    0
       22      27       5.039e+01       1.490e+02       4.964e-03       1.026e+00    0
       22      28       4.825e+01       1.530e+02       4.154e-03       1.595e+00    0
       22      29       4.633e+01       1.574e+02       4.807e-03       1.606e+00    0
       22      30       4.466e+01       1.622e+02       4.670e-03       1.065e+00    0
       22      31       4.327e+01       1.674e+02       4.921e-03       1.753e+00    0
       22      32       4.220e+01       1.729e+02       5.191e-03       1.396e+00    0
       22      33       4.149e+01       1.787e+02       4.629e-03       1.520e+00    0
       22      34       4.117e+01       1.847e+02       5.191e-03       1.441e+00    0
       22      35       4.125e+01       1.907e+02       5.033e-03       7.472e-01    0
       22      36       4.173e+01       1.966e+02       4.963e-03       9.362e-01    0
       22      37       4.259e+01       2.023e+02       4.723e-03       5.309e-01    0
       22      38       4.380e+01       2.078e+02       4.260e-03       1.124e+00    0
       22      39       4.530e+01       2.128e+02       4.854e-03       2.465e-01    0
       22      40       4.708e+01       2.174e+02       4.608e-03       5.356e-01    0
       22      41       4.908e+01       2.217e+02       4.106e-03       1.069e+00    0
       22      42       5.131e+01       2.255e+02       4.264e-03       1.029e+00    0
       22      43       5.375e+01       2.289e+02       4.176e-03       1.070e+00    0
       22      44       5.641e+01       2.321e+02       4.325e-03       6.408e-01    0
       22      45       5.932e+01       2.349e+02       4.220e-03       1.509e+00    0
       22      46       6.252e+01       2.374e+02       4.634e-03       2.543e-01    0
       22      47       6.604e+01       2.397e+02       4.778e-03       4.398e-01    0
       22      48       6.995e+01       2.417e+02       5.492e-03       2.054e-01    0
       22      49       7.430e+01       2.436e+02       0.000e+00       0.000e+00    1
       23      19       7.429e+01       1.256e+02       4.498e-03       4.065e-01    0
       23      20       6.976e+01       1.273e+02       4.349e-03       6.985e-01    0
       23      21       6.568e+01       1.291e+02       4.207e-03       7.443e-01    0
       23      22       6.199e+01       1.312e+02       4.052e-03       9.835e-01    0
       23      23       5.863e+01       1.335e+02       3.898e-03       1.310e+00    0
       23      24       5.554e+01       1.361e+02       4.210e-03       1.290e+00    0
       23      25       5.268e+01       1.390e+02       4.042e-03       2.230e+00    0
       23      26       5.001e+01       1.422e+02       4.508e-03       1.244e+00    0
       23      27       4.753e+01       1.459e+02       4.092e-03       1.689e+00    0
       23      28       4.522e+01       1.500e+02       5.078e-03       1.631e+00    0
       23      29       4.312e+01       1.546e+02       4.820e-03       2.358e+00    0
       23      30       4.124e+01       1.597e+02       5.362e-03       1.328e+00    0
       23      31       3.966e+01       1.653e+02       5.323e-03       1.548e+00    0
